X,Y
0.5896740267114667,-1.3717057272535262
0.5773994868668872,-1.3809997479447356
0.5627639457804472,-1.389582010498458
0.5458962198176955,-1.3971387958855224
0.5270289182613721,-1.4035063886060979
0.5064883317951087,-1.4087101525245478
0.4846432543872086,-1.4129527372153707
0.4618447398187735,-1.4165309767161405
0.4383953850150822,-1.4197972664470562
0.41452276977760555,-1.4231042258910613
0.3903744187820761,-1.4267566853726246
0.3660211229538957,-1.430975495617843
0.34146312495787057,-1.4358770092716069
0.316611276682574,-1.4415031366865065
0.2913346214126508,-1.4478329705532849
0.2654941701492838,-1.4547593510731598
0.23894823272251722,-1.462096254816827
0.21155810953534143,-1.4695910843224298
0.1831928053786252,-1.4769403468637283
0.15374464029586302,-1.4838079830058173
0.12320990372447642,-1.4898379737111211
0.09168939447908322,-1.4946857276654226
0.05937299087265736,-1.4980579022775693
0.026537096410645014,-1.499743719801685
-0.006461931090296464,-1.4996430375448164
-0.039232340988961605,-1.4977831023449704
-0.07144088756067167,-1.4943134228285735
-0.1028447739902703,-1.489482849811448
-0.133297168568416,-1.4836085484086576
-0.16274899687557928,-1.4770429866578014
-0.19123943729106396,-1.470135905767514
-0.21887886840833,-1.4632067685127945
-0.2458022156521018,-1.4565346301412319
-0.2721486839827469,-1.4503400539218028
-0.2980569884396711,-1.444771258346822
-0.32365891200230934,-1.4398933244953667
-0.34904490255387843,-1.4356837453793614
-0.37425850967178487,-1.4320644224421155
-0.39928687752494935,-1.4288627415329458
-0.42404098293203507,-1.425811538042929
-0.44834803192323763,-1.4225763962841667
-0.471949915305376,-1.418795317654204
-0.49451125411783575,-1.4141276362219373
-0.5156565120233777,-1.4082993788557798
-0.5350309227668371,-1.4011768740582293
-0.5523386745209238,-1.392814073790151
-0.5673698346615731,-1.3834491060949814
-0.5800184254662266,-1.3734838912996072
-0.5903010293804694,-1.3633997449357902
-0.5982943148002153,-1.353675634151841
-0.6041067649524923,-1.3447724842467181
-0.6078662566827906,-1.3370941909222762
-0.6096949490222132,-1.3309657234403325
-0.6096918034820917,-1.3266252905011042
-0.6079368653842978,-1.3242574288731623
-0.6044849304518669,-1.3239915284349957
-0.5993618524585326,-1.3258956861588689
-0.5925617892458817,-1.3299761510747379
-0.5840465983889799,-1.3361755031355802
-0.5737477339307575,-1.3443696889332397
-0.561570684284523,-1.354363724692552
-0.5473999650291528,-1.3658805133260992
-0.5311140572382855,-1.3785832719163211
-0.5125822772720969,-1.3920187045317802
-0.491692329878448,-1.4056209700638205
-0.468390649232892,-1.4187580530381858
-0.4427204788093021,-1.4307970998374997
-0.4148497714955419,-1.441185056103524
-0.3850805757493224,-1.449537331186844
-0.35383189288988814,-1.455726810092127
-0.32157467263532236,-1.4599070428343046
-0.2887480740746392,-1.4624412643442288
-0.2557155139897568,-1.4638058621505488
-0.22273649980440036,-1.4644916663926288
-0.18994515658890887,-1.4649244707979499
-0.15738873183782476,-1.46544684307034
-0.1250474123536971,-1.4662991029716674
-0.09285207662795211,-1.4676093350736696
-0.060707749447906606,-1.469407209042271
-0.02847345019116085,-1.471645276765602
0.003982004212014584,-1.4741913285891717
